iter	Passed	Remaining
968	9112	291
969	9123	282
970	9134	272
971	9142	263
972	9152	253
973	9163	244
974	9172	235
975	9182	225
976	9193	216
977	9203	207
978	9214	197
979	9224	188
980	9233	178
981	9243	169
982	9250	159
983	9260	150
984	9270	141
985	9279	131
986	9287	122
987	9297	112
988	9308	103
989	9318	94
990	9328	84
991	9336	75
992	9341	65
993	9350	56
994	9357	47
995	9366	37
996	9372	28
997	9383	18
998	9389	9
999	9398	0
